Start Date	Start Timezone	End Date	End Timezone	All Day?	Summary	Calendar ID	Last Modified
2023-04-09 00:00:00	_float	2023-04-09 23:59:59	_float	1	Easter Sunday (ACT, NSW, QLD, VIC)	15	1976-04-01 00:00:00
2023-04-10 00:00:00	_float	2023-04-10 23:59:59	_float	1	Easter Monday	15	1976-04-01 00:00:00
2023-04-11 00:00:00	_float	2023-04-11 23:59:59	_float	1	Easter Tuesday (TAS)	15	1976-04-01 00:00:00
2023-05-01 00:00:00	_float	2023-05-01 23:59:59	_float	1	Labour Day (QLD)	15	1976-04-01 00:00:00
2023-05-29 00:00:00	_float	2023-05-29 23:59:59	_float	1	Reconciliation Day (ACT)	15	1976-04-01 00:00:00
2023-08-16 00:00:00	_float	2023-08-16 23:59:59	_float	1	Royal Queensland Show (QLD, Brisbane area only)	15	1976-04-01 00:00:00
2023-09-25 00:00:00	_float	2023-09-25 23:59:59	_float	1	King's Birthday (WA)	15	1976-04-01 00:00:00
2023-09-29 00:00:00	_float	2023-09-29 23:59:59	_float	1	Grand Final Friday (VIC)	15	1976-04-01 00:00:00
2023-10-02 00:00:00	_float	2023-10-02 23:59:59	_float	1	King's Birthday (QLD)	15	1976-04-01 00:00:00
2023-12-26 00:00:00	_float	2023-12-26 23:59:59	_float	1	Proclamation Day (SA)	15	1976-04-01 00:00:00
2024-02-10 00:00:00	_float	2024-02-10 23:59:59	_float	1	Royal Hobart Regatta (TAS)	15	1976-04-01 00:00:00
2024-02-11 00:00:00	_float	2024-02-11 23:59:59	_float	1	Royal Hobart Regatta (TAS)	15	1976-04-01 00:00:00
2024-02-12 00:00:00	_float	2024-02-12 23:59:59	_float	1	Royal Hobart Regatta (TAS)	15	1976-04-01 00:00:00
2024-03-04 00:00:00	_float	2024-03-04 23:59:59	_float	1	Labour Day (WA)	15	1976-04-01 00:00:00
2024-03-11 00:00:00	_float	2024-03-11 23:59:59	_float	1	Labour Day (VIC)	15	1976-04-01 00:00:00
2024-03-29 00:00:00	_float	2024-03-29 23:59:59	_float	1	Good Friday	15	1976-04-01 00:00:00
2024-03-30 00:00:00	_float	2024-03-30 23:59:59	_float	1	Saturday before Easter Sunday	15	1976-04-01 00:00:00
