Visit Time	Search Term	URL	Visit Count	Title	iCloud Sync	Load Successful	Visit ID	Redirect Source	Redirect Destination
2023-07-09 09:16:04	ozbar hi m	https://www.google.com.au/search?q=ozbar+hi+m&ie=UTF-8&oe=UTF-8&hl=en-au&client=safari	2	ozbar hi m - Google Search	visited local device	1	4		
2023-07-09 09:16:05	ozbar hi m	https://www.google.com.au/search?q=ozbar+hi+m&ie=UTF-8&oe=UTF-8&hl=en-au&client=safari	2	ozbar hi m - Google Search	visited local device	1	5		
