Last Connect Timestamp	First Usage Timestamp	Last Usage Timestamp	Bundle Name	Process Name	Type	Wifi In (Bytes)	Wifi Out (Bytes)	Mobile/WWAN In (Bytes)	Mobile/WWAN Out (Bytes)	Wired In (Bytes)	Wired Out (Bytes)
2023-07-09 06:34:46	2023-07-09 06:34:46	2023-07-09 10:44:54		storebookkeeperd	Process	97710.0	12646.0	82418.0	23404.0	0.0	0.0
2023-07-09 06:34:47	2023-07-09 06:34:47	2023-07-09 08:47:33		sharingd	Process	49754.0	17616.0	51381.0	21802.0	0.0	0.0
2023-07-09 06:34:48	2023-07-09 06:34:48	2023-07-10 10:47:48		bluetoothd	Process	25230.0	7768.0	11865.0	4338.0	0.0	0.0
2023-07-09 06:34:48	2023-07-09 06:34:48	2023-07-09 06:35:06		seld	Process	9067.0	17210.0	0.0	0.0	0.0	0.0
2023-07-09 06:34:48	2023-07-09 06:34:48	2023-07-10 10:47:40		mstreamd	Process	22574.0	10409.0	0.0	0.0	0.0	0.0
2023-07-09 06:35:05	2023-07-09 06:35:05	2023-07-09 06:36:37		assistantd	Process	67985.0	45516.0	0.0	0.0	0.0	0.0
2023-07-09 06:35:41	2023-07-09 06:35:41	2023-07-10 10:47:09		com.apple.SafariBookmarksSyncAgent	Process	131774.0	77715.0	81715.0	42425.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-10 10:50:45		itunescloudd	Process	353316.0	29694.0	1362214.0	72043.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-09 11:04:23		fmfd	Process	64029.0	43980.0	20323.0	8133.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-09 11:03:59		findmydeviced	Process	73451.0	65875.0	20981.0	17085.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-09 06:37:41		com.apple.cloudpaird	Process	21615.0	10623.0	0.0	0.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-10 10:48:20		fmflocatord	Process	94399.0	87917.0	47476.0	26424.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-10 10:48:57		parsecd	Process	27070.0	6422.0	44890.0	13087.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-09 06:36:05		com.apple.siriknowledged	Process	23674.0	14162.0	0.0	0.0	0.0	0.0
2023-07-09 06:35:42	2023-07-09 06:35:42	2023-07-09 06:42:06		remindd	Process	52834.0	44689.0	0.0	0.0	0.0	0.0
2023-07-09 06:35:44	2023-07-09 06:35:44	2023-07-09 11:04:02		cloudphotod	Process	11823.0	2719.0	10905.0	2599.0	0.0	0.0
2023-07-09 06:35:45	2023-07-09 06:35:45	2023-07-10 11:16:54		adprivacyd	Process	140716.0	45128.0	31444.0	7418.0	0.0	0.0
2023-07-09 06:35:46	2023-07-09 06:35:46	2023-07-09 06:42:05		dataaccessd	Process	143459.0	86643.0	0.0	0.0	0.0	0.0
2023-07-09 06:35:50	2023-07-09 06:35:50	2023-07-09 06:36:10		com.apple.kbd	Process	64916.0	47393.0	0.0	0.0	0.0	0.0
2023-07-09 06:36:01	2023-07-09 06:36:01	2023-07-10 10:51:44		kbd	Process	91171.0	46915.0	249.0	118.0	0.0	0.0
2023-07-09 06:36:37	2023-07-09 06:36:37	2023-07-09 06:37:05	com.apple.mobilephone	com.apple.mobilephone	App	26703.0	15290.0	0.0	0.0	0.0	0.0
2023-07-09 06:40:37	2023-07-09 06:40:37	2023-07-09 06:42:34		searchpartyd	Process	17213.0	6572.0	0.0	0.0	0.0	0.0
2023-07-09 06:41:42	2023-07-09 06:41:42	2023-07-09 10:59:28	com.apple.Preferences	com.apple.Preferences	App	134221.0	54548.0	55457.0	18025.0	0.0	0.0
2023-07-09 06:41:58	2023-07-09 06:41:58	2023-07-10 10:59:54	com.apple.mobileslideshow	com.apple.mobileslideshow	App	453914.0	6335335.0	11704.0	6072.0	0.0	0.0
