Last Connect Timestamp	First Usage Timestamp	Last Usage Timestamp	Bundle Name	Process Name	Type	Wifi In (Bytes)	Wifi Out (Bytes)	Mobile/WWAN In (Bytes)	Mobile/WWAN Out (Bytes)
2023-07-09 08:44:09	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.Music	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.Music	255	0.0	0.0	39218087.0	0.0
2023-07-09 08:44:12	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.tips	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.tips	Process	0.0	0.0	74717.0	34918.0
2023-07-09 08:44:12	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.videos	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.videos	Process	0.0	0.0	130819.0	60259.0
2023-07-09 08:44:12	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.findmy	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.findmy	Process	0.0	0.0	360.0	144.0
2023-07-09 08:44:13	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.compass	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.compass	Process	0.0	0.0	2120.0	708.0
2023-07-09 08:44:13	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.gamecenter	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.gamecenter	Process	0.0	0.0	745288.0	29319.0
2023-07-09 08:44:15	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.tv	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.tv	Process	0.0	0.0	256961.0	40702.0
2023-07-09 08:44:15	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.AppStore	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.AppStore	Process	0.0	0.0	89443.0	106466.0
2023-07-09 08:44:16	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.mobilemail	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.mobilemail	Process	0.0	0.0	126656.0	69895.0
2023-07-09 08:44:16	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.Fitness	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.Fitness	Process	0.0	0.0	458074.0	11872.0
2023-07-09 08:44:17	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.mobiletimer	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.mobiletimer	Process	0.0	0.0	52738.0	23608.0
2023-07-09 08:44:20	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.news	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.news	Process	0.0	0.0	2223.0	1070.0
2023-07-09 08:44:22	2023-07-09 06:19:36	2023-07-09 06:19:36	com.apple.Home	1FB47783-A2FE-47D9-B256-DF50EF44BBA4/com.apple.Home	Process	0.0	0.0	684.0	258.0
