Key	Value
IPAddress	172.20.10.9
LeaseLength	86400
LeaseStartDate	2023-07-10 10:46:54
RouterHardwareAddress	b'V\xeb\xe9W\xc9d'
RouterIPAddress	172.20.10.1
SSID	wes’s iPhone
