Value	Key
	FenceTimeStarted
2023-07-09 16:38:02	ConsumptionPeriodBegin
2023-07-10 21:37:53	ReceivingLocationInformationTimeStopped
4	Authorization
2023-07-10 21:13:12	LocationTimeStopped
