Bundle ID	Type	Directory GUID	Path
com.apple.DiagnosticExtensions.Sandbox	PluginKitPlugin	02993166-7149-40F9-8FF5-0CE027DD58E5	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.DataAccess	PluginKitPlugin	0337AFD0-E16F-4845-AEE0-0B68E0981EA1	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.Music.MusicWidgets	PluginKitPlugin	040D5BB6-5A45-4243-A4D2-090597EEF090	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.MediaPlayer.DiagnosticExtension	PluginKitPlugin	04FB9EB6-B591-4620-A90E-8A2EF5B54009	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.CoreCDPUI.CDPFollowUpExtension	PluginKitPlugin	06C7F633-B0C9-4409-9B2C-09F448386EF7	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.ibooks.BookLibrary.BooksDiagnosticExtension	PluginKitPlugin	077F4259-9CB9-456B-ACA6-D0937E839BB7	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.siri.SiriAnnounceExtensions.AnnounceIntentExtension	PluginKitPlugin	08565D73-BA97-40B3-AC81-CE9E63E7EEDB	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.UIKit.ColorPicker	PluginKitPlugin	0A78BB74-537E-4AF2-9F4F-B8EFB1108768	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.mobilephone.extension.VoicemailMessageNotificationExtension	PluginKitPlugin	0A95EE1B-DB17-4D89-BDBF-FD0FEB56A4BA	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.itunesstore.AskPermissionExtension	PluginKitPlugin	0B316BFB-8F63-4436-82AC-74DC3BFF63B9	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.Diagnostics.diagnosticextension	PluginKitPlugin	0BAE974D-10B4-4120-90D8-6E64AFDCCB3D	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.ExternalAccessory.WACUI	PluginKitPlugin	0BB4FC0D-7ECD-4142-B1D0-48445DA78548	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.SMBClientProvider.FileProvider	PluginKitPlugin	0C005A8D-DB37-4E30-9FFB-CCC20185D892	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.AssetViewer.ASVAssetThumbnail	PluginKitPlugin	0C3AA0BF-190A-4167-B0BF-F40EB8FB39AD	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.podcasts.SpotlightIndexExtension	PluginKitPlugin	0D3F8F08-032A-4429-B0DC-0C8E057DFE32	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.iBooks.iBooksProductPageExtension	PluginKitPlugin	0D53519C-92D3-4D41-BE9D-96EC990C2A71	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.news.articlenotificationextension	PluginKitPlugin	0D596700-EA1B-4AE8-AD75-26C6E4EE37EC	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DocumentManagerUICore.SaveToFiles	PluginKitPlugin	0DE7B8B1-4B91-4A49-B31B-2F094D2B31DC	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.podcasts.PodcastsProductPageExtension	PluginKitPlugin	0E40CCBE-EADF-4B6B-B214-41E90EDB9574	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.siri.SiriGeo.SiriGeoIntentExtension	PluginKitPlugin	0E646CFB-A56E-430B-A2B4-C182F735737B	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.gamecenter.GameCenterUIService.GameCenterMessageExtension	PluginKitPlugin	0EBB4E93-CCDE-4FE4-8776-6359D0A5CBEA	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4579	PluginKitPlugin	0F8BB2DB-E9D0-48A8-BAC6-42D7F9D7DB60	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DocumentManagerUICore.AddTagsActionExtension	PluginKitPlugin	0FCF91F7-8DF6-4A9F-A4FD-441A8A0DBABE	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.news.widgetintents	PluginKitPlugin	10B858C1-7531-4EA3-AB45-6A4EE2B62FDA	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.FunCamera.EmojiStickers.MessagesExtension	PluginKitPlugin	10BECB03-562D-44B2-807A-6FF627E4BA77	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.quicklook.extension.previewUI	PluginKitPlugin	11A9B5F8-213E-4BB6-BA13-6958E7FF2022	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.ScreenTimeUI.ScreenTimeNotificationContentExtension	PluginKitPlugin	12F5A06A-C3A1-482C-A64E-EFBA3795BFC8	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4004	PluginKitPlugin	13FC37E6-0A5F-4F54-8BB5-AC651CC6B078	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4002	PluginKitPlugin	15116D4A-D15C-464C-9842-6BE13C99162C	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.WiFi	PluginKitPlugin	1548CAD5-B520-42A4-89A5-B6D4AC5B4D5E	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.PassKit.PassKitIntentsExtension	PluginKitPlugin	15B0278B-280A-4A81-925C-FFF40BB69BD9	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.PDFKit.PDFExtensionView	PluginKitPlugin	171D856F-986F-4EE3-8EE7-5E6FA52E3444	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.VPN	PluginKitPlugin	182659C8-7FE2-4B2F-BD57-8E314F919FAF	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.iBooks.BooksNotificationContentExtension	PluginKitPlugin	185CE372-EDDD-4146-99AE-DD333151F547	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.WorkflowKit.BackgroundShortcutRunner	PluginKitPlugin	18D97154-C334-4C0E-9232-BE6F3F8AEB06	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.mobilenotes.SpotlightIndexExtension	PluginKitPlugin	1ACDD7B1-4516-40E2-8DE6-8A86A0736289	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.sysdiagnose	PluginKitPlugin	1B8F03AC-8F72-4A9E-AE38-302534B068AC	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.mobileslideshow.photospicker	PluginKitPlugin	1C6770BE-8D24-4C81-8481-B272E27851C8	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.HealthKit.HealthDiagnosticExtension	PluginKitPlugin	1CBD9296-668D-465B-9E0B-AE627AEAE2B9	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.mobilemail.DiagnosticExtension	PluginKitPlugin	1DF36ABB-3F31-4947-9C3C-1F66E039B819	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.coreaudio.haenotifications.HAENotificationContentExtension	PluginKitPlugin	1F882883-BDE4-45F6-985F-A466CAA88E30	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.AuthKitUI.AKSecondFactorEntryAlert	PluginKitPlugin	2067D5D3-05D5-4A78-B719-24080A5EA5E7	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.reminders.WidgetExtension	PluginKitPlugin	211F086A-8845-4F2B-A651-E025D46E06BB	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticExtensions.Microstackshot	PluginKitPlugin	219F07D9-B24A-482F-BE51-DDB6A4F5B194	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.siri.SiriContactsIntents.ContactsIntentExtension	PluginKitPlugin	22982F47-1E78-4B44-8193-A279FCAEB6F8	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.SoftwareUpdateServices.SUSFollowUpExtension	PluginKitPlugin	2340DF6F-488D-4922-ACDE-FD7B52295E59	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.accessibility.RTTUI.RTTNotifications	PluginKitPlugin	23E6DB6A-2EDC-4439-859E-34F670AF0F45	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4003	PluginKitPlugin	241FD009-4EFD-452C-85CC-7F421D4DE8F4	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-3741	PluginKitPlugin	242CBF8D-76D1-4899-B2D3-9D762128CCA2	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.ContactsUI.ContactViewViewService	PluginKitPlugin	249D06A8-D217-4A47-A466-B0E488BFF767	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.PassKit.PassKitIntentsUIExtension	PluginKitPlugin	2A6C8A2F-A7E2-4067-899E-099F2F64DF2D	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.ShazamKit.ShazamNotificationContentExtension	PluginKitPlugin	2A7C00FB-CD17-4706-98E1-9BA3A82C33CB	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.NanoTimeKitCompanion.CreateWatchFace	PluginKitPlugin	2AC0B740-CBF9-495F-B7D8-DBB94FDA5F8A	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-8187	PluginKitPlugin	2B03FDF2-A528-4CA9-9359-42588438509F	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.icloud.apps.messages.business.extension	PluginKitPlugin	2CC1AACC-0CB7-4BB2-B0C1-16FE6A88E714	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.PBBridgeSupport.BridgeIntents	PluginKitPlugin	2CD23611-6FEE-496F-A318-5EF990D81E68	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
com.apple.DiagnosticsService.Diagnostic-4006	PluginKitPlugin	2CDC8E43-7BD6-4D8B-9CEB-1FD30668DCED	\\?\R:\temp\private\var\mobile\Containers\Data\PluginKitPlugin
